epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,743.614,0.93381,2.41669,1.4479,0.45453,0.2752,0.44929,0.27667,1.10407,3.19161,1.89353,0.000468651,0.000468651,0.000468651
2,1494.57,0.97541,1.87159,1.4703,0.29777,0.63048,0.38547,0.21044,1.40661,3.97588,2.26255,0.000926273,0.000926273,0.000926273
3,2235,1.04543,1.81684,1.53376,0.25917,0.37742,0.22706,0.10016,1.85872,3.07993,2.46638,0.00136503,0.00136503,0.00136503
4,2967.19,1.03671,1.62262,1.5126,0.51758,0.41769,0.37794,0.19203,1.57289,2.80308,2.58388,0.00134412,0.00134412,0.00134412
5,3675.86,0.9991,1.5197,1.49921,0.58723,0.60083,0.63625,0.39318,1.28095,1.94688,2.07113,0.00131582,0.00131582,0.00131582
6,4496.31,0.99353,1.39241,1.47011,0.27127,0.33095,0.18891,0.07867,2.18657,2.97818,2.81121,0.00128753,0.00128753,0.00128753
7,5390.6,0.95897,1.33195,1.4415,0.61997,0.58181,0.58427,0.37395,1.22449,1.59587,1.95902,0.00125923,0.00125923,0.00125923
8,6183.21,0.98002,1.29938,1.46278,0.76012,0.71719,0.79082,0.54175,1.02551,1.31881,1.71823,0.00123094,0.00123094,0.00123094
9,6921.99,0.95034,1.26026,1.42877,0.71144,0.62514,0.69756,0.47892,1.11509,1.55461,1.8168,0.00120265,0.00120265,0.00120265
10,7714.62,0.87954,1.19505,1.38212,0.74646,0.72037,0.77201,0.5133,1.09777,1.17966,1.7847,0.00117435,0.00117435,0.00117435
11,8520.36,0.88333,1.15701,1.40033,0.62421,0.69464,0.75905,0.44387,1.32524,1.63615,2.34914,0.00114606,0.00114606,0.00114606
12,9257.88,0.90182,1.06303,1.3902,0.75406,0.78214,0.85381,0.58426,1.06326,1.20924,1.73181,0.00111776,0.00111776,0.00111776
